,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
HardlinerAgent,0.8674419172600001,0.33713291802627865,1.2069928535550005,3494.025,40,35,5,0
Agent2,0.7946125451725001,0.384603293205254,1.2661210713325004,2019.95,40,37,3,0
TemplateAgent,0.7426990689374997,0.44541816566620335,1.4016707316475006,705.325,40,40,0,0
Group30Agent,0.7143997759549998,0.3708908160073478,1.3130112049050002,1392.225,40,40,0,0
BoulwareAgent,0.6937003667725,0.3926530175267676,1.3509041528875003,2353.5,40,40,0,0
LinearAgent,0.6386535978399999,0.42013202463936217,1.36679631085,742.025,40,40,0,0
Agent3,0.6233155743100001,0.3909280018741813,1.2412626321600002,2569.125,40,36,4,0
RandomAgent,0.563837195525,0.392731813796425,1.21216203352,1844.35,40,37,3,0
ConcederAgent,0.5627096831975,0.407278854740954,1.3534637760275001,170.325,40,40,0,0
Agent7,0.4681877733725,0.29830131869808874,1.0769472571975,1228.25,40,35,5,0
StupidAgent,0.28550136451999997,0.26440890252042953,1.1207857016425002,2.4,40,38,2,0
